おはよう。,おはよう。
おはよう。,コーヒー飲む？
コーヒー飲む？,ありがとう、いただきます。
ありがとう、いただきます。,どういたしまして。
朝ご飯これで良かった？,うん。
いただきます。,いただきます。
今日は暑くなるって。,本当に？
本当に？,本当本当。
それなら薄着のほうが良いかな？,大学は冷房効いているでしょ。
大学は冷房が効いているでしょ。,確かに。
そういえば課題は終わらせた？,あ、忘れてた。
あ、忘れてた。,提出期限大丈夫？
提出期限大丈夫？,多分まだ大丈夫。
多分まだ大丈夫。,本当？
本当？,大丈夫だって。
大丈夫だって。,そう。
今日はバイトあるの？,ある。
帰りは遅くなると思う。,そっか。
夕飯はいる？,頼んでも良い？
頼んでも良い？,了解、任せて。
何が食べたい？,作れる物で良いよ。
じゃあカレー食べたい。,わかった、頑張る。
わかった、頑張る。,ありがとう。
ありがとう。,どういたしまして。
ごちそうさま。,ごちそうさま。
1限あるんだっけ？,うん。そろそろ学校行かないと。
そろそろ学校行かないと。,お皿は流しに出しておいて。
お皿は流しに出しておいて。,わかった。
いってらっしゃい。,いってきます。
